Time(s);RTF
70.60;3.64
70.70;3.50
70.80;3.75
70.90;3.73
71.00;2.31
71.10;0.97
71.20;0.97
71.30;1.01
71.40;1.03
71.50;1.00
71.60;0.99
71.70;0.97
71.80;1.03
71.90;0.90
72.00;1.06
72.10;1.01
72.20;0.99
72.30;0.99
72.40;1.04
72.50;1.02
72.60;0.99
72.70;0.97
72.80;1.02
72.90;0.99
73.00;1.03
73.10;1.00
73.20;0.94
73.30;1.00
73.40;1.09
73.50;0.96
73.60;0.98
73.70;1.07
73.80;1.00
73.90;0.96
74.00;0.99
74.10;1.05
74.20;0.98
74.30;0.99
74.40;0.99
74.50;0.96
74.60;1.03
74.70;1.06
74.80;0.97
74.90;1.02
75.00;1.02
75.10;0.99
75.20;1.00
75.30;0.98
75.40;0.93
75.50;1.04
75.60;1.02
75.70;0.99
75.80;0.98
75.90;1.01
76.00;1.00
76.10;1.01
76.20;1.06
76.30;0.92
76.40;1.05
76.50;1.06
76.60;1.01
76.70;0.99
76.80;0.96
76.90;1.02
77.00;1.00
77.10;0.98
77.20;1.03
77.30;0.97
77.40;1.04
77.50;1.00
77.60;0.97
77.70;1.02
77.80;1.01
77.90;0.97
78.00;0.96
78.10;1.05
78.20;0.98
78.30;0.95
78.40;1.08
78.50;0.97
78.60;1.04
78.70;0.97
78.80;1.02
78.90;1.02
79.00;1.03
79.10;0.96
79.20;1.03
79.30;0.98
79.40;0.97
79.50;1.04
79.60;1.02
79.70;0.99
79.80;1.00
79.90;0.98
80.00;1.00
80.10;0.89
80.20;1.14
80.30;1.00
80.40;0.99
80.50;1.01
80.60;0.99
80.70;1.02
80.80;0.97
80.90;1.02
81.00;1.01
81.10;0.99
81.20;0.98
81.30;0.99
81.40;1.02
81.50;1.00
81.60;1.01
81.70;1.00
81.80;0.99
81.90;0.98
82.00;1.03
82.10;1.05
82.20;0.95
82.30;0.98
82.40;1.02
82.50;1.01
82.60;0.99
82.70;1.01
82.80;0.99
82.90;0.98
83.00;1.07
83.10;0.98
83.20;0.99
83.30;0.98
83.40;1.03
83.50;1.00
83.60;1.00
83.70;1.00
83.80;0.99
83.90;1.00
84.00;0.96
84.10;1.00
84.20;0.98
84.30;1.08
84.40;1.02
84.50;0.96
84.60;1.01
84.70;1.00
84.80;1.01
84.90;0.99
85.00;1.02
85.10;0.97
85.20;1.04
85.30;0.97
85.40;1.02
85.50;0.98
85.60;1.01
85.70;0.97
85.80;1.03
85.90;1.00
86.00;1.00
86.10;1.02
86.20;0.98
86.30;0.97
86.40;1.03
86.50;1.01
86.60;1.03
86.70;0.96
86.80;1.03
86.90;0.99
87.00;1.00
87.10;0.99
87.20;1.01
87.30;1.00
87.40;1.00
87.50;0.94
87.60;1.09
87.70;0.96
87.80;1.03
87.90;1.01
88.00;0.99
88.10;1.04
88.20;0.97
88.30;1.02
88.40;0.98
88.50;1.01
88.60;0.94
88.70;1.03
88.80;0.99
88.90;1.04
89.00;0.97
89.10;1.02
89.20;1.00
89.30;1.00
89.40;1.00
89.50;0.98
89.60;1.00
89.70;1.00
89.80;0.94
89.90;1.07
90.00;0.99
90.10;0.99
90.20;1.03
90.30;0.99
90.40;0.99
90.50;1.00
90.60;1.02
90.70;1.00
90.80;0.98
90.90;1.01
91.00;1.00
91.10;0.97
91.20;1.01
91.30;0.96
91.40;1.07
91.50;0.97
91.60;1.00
91.70;1.02
91.80;0.98
91.90;1.02
92.00;0.99
92.10;1.03
92.20;0.99
92.30;0.97
92.40;1.01
92.50;1.02
92.60;1.00
92.70;1.01
92.80;0.98
92.90;1.01
93.00;1.00
93.10;1.01
93.20;1.00
93.30;0.97
93.40;1.03
93.50;1.00
93.60;0.99
93.70;1.00
93.80;1.03
93.90;0.96
94.00;1.00
94.10;1.02
94.20;1.00
94.30;0.97
94.40;1.00
94.50;1.01
94.60;1.01
94.70;0.98
94.80;0.96
94.90;0.99
95.00;1.04
95.10;1.01
95.20;1.03
95.30;0.96
95.40;0.96
95.50;1.07
95.60;0.90
95.70;1.04
95.80;1.08
95.90;1.00
96.00;0.99
96.10;1.01
96.20;1.00
96.30;0.91
96.40;1.12
96.50;1.00
96.60;0.99
96.70;1.01
96.80;0.97
96.90;1.01
97.00;1.00
97.10;1.00
97.20;1.00
97.30;0.97
97.40;1.03
97.50;0.99
97.60;0.99
97.70;1.03
97.80;0.96
97.90;1.04
98.00;0.96
98.10;1.01
98.20;1.01
98.30;0.99
98.40;1.00
98.50;0.99
98.60;1.00
98.70;0.98
98.80;1.00
98.90;1.01
99.00;1.00
99.10;0.99
99.20;1.01
99.30;1.02
99.40;1.00
99.50;0.98
99.60;1.02
99.70;1.01
99.80;0.99
99.90;0.99
100.00;1.01
100.10;0.99
100.20;0.99
